Index,Name,Total Population,<5 Percentage,5-17 Percentage,18-29 Percentage,30-39 Percentage,40-49 Percentage,50-64 Percentage,65-74 Percentage,75-84 Percentage,85+ Percentage,GDP (2017),Testing Capacity,Absolute Air Passengers,Latitude,Longitude
44,Iraq,38433000,0.141,0.348,0.178,0.133,0.096,0.071,0.022,0.009,0.002,192060810811,46275,2717150,33.20N,44.30E
45,Afghanistan,37171000,0.151,0.399,0.176,0.114,0.074,0.061,0.019,0.006,0.001,19543976895,4000,1066750,34.28N,69.11E
46,Poland,37976687,0.050,0.131,0.148,0.161,0.138,0.201,0.099,0.051,0.020,526465839003,92720,10225520,52.13N,21.00E
47,Canada,37073000,0.053,0.161,0.138,0.139,0.128,0.209,0.099,0.050,0.022,1647120175449,130250,93352000,45.27N,75.42W
48,Morocco,36028000,0.095,0.258,0.165,0.151,0.118,0.141,0.045,0.022,0.004,109708728849,24013,9380950,33.97N,6.85W
49,Saudi Arabia,33702000,0.089,0.228,0.164,0.202,0.175,0.109,0.023,0.009,0.002,686738400000,88712,39350310,24.41N,46.42E
50,Peru,31991000,0.086,0.252,0.169,0.153,0.126,0.132,0.049,0.025,0.007,211389272242,18910,18820570,12.00S,77.00W
51,Malaysia,31528000,0.083,0.245,0.184,0.170,0.121,0.132,0.045,0.017,0.004,314710259511,122579,63623130,03.09N,101.41E
52,Australia,24899000,0.065,0.186,0.138,0.144,0.131,0.178,0.088,0.047,0.021,1323421072479,81918,76850600,35.15S,149.08E
53,Taiwan,23727000,0.044,0.142,0.134,0.157,0.155,0.223,0.086,0.041,0.017,574905000000,1685,72157443,25.07N,121.52E
54,Chile,18730000,0.064,0.202,0.161,0.150,0.135,0.172,0.068,0.034,0.013,277075944402,56042,21197760,33.24S,70.40W
55,Zambia,17350000,0.165,0.398,0.171,0.118,0.074,0.053,0.015,0.005,0.001,25868142073,11370,17510,15.28S,28.16E
56,Zimbabwe,14440000,0.152,0.380,0.170,0.128,0.080,0.061,0.019,0.009,0.001,22040902300,3710,282540,17.43S,31.02E
57,Tunisia,11566000,0.090,0.220,0.153,0.165,0.130,0.158,0.051,0.025,0.007,39952095561,7435,4335320,36.50N,10.11E
58,Israel,8382000,0.101,0.256,0.139,0.133,0.119,0.134,0.071,0.033,0.016,353268411919,111696,6659840,31.71N,35.10W
59,Hong Kong,7370000,0.043,0.115,0.124,0.153,0.153,0.243,0.095,0.048,0.025,341449340451,133411,46469860,22.32N,114.17E
60,Slovakia,5443120,0.053,0.132,0.151,0.161,0.149,0.199,0.095,0.046,0.015,95617670260,346620,7920,48.10N,17.07E
61,New Zealand,4742000,0.063,0.198,0.142,0.124,0.128,0.188,0.091,0.047,0.019,204139049909,20966,17763600,41.19S,174.46E
62,Jamaica,2935000,0.080,0.243,0.176,0.145,0.122,0.144,0.051,0.027,0.010,14781107822,2656,180950,18.00N,76.50W
